-1	DocumentCode	-1	JobRole	-1	TeamName
1476	CO-CS-SOP-358	-1	Global Customer Support (Core)	78	Global Customer Support
1105	CO-SUP-POL-017	-1	Global Customer Support (Core)	78	Global Customer Support
1586	CO-OPS-SOP-377	-1	Global Customer Support (Core)	78	Global Customer Support
1081	CO-CS-SOP-275	-1	Global Customer Support (Core)	78	Global Customer Support
1543	CO-OPS-SOP-364	-1	Global Customer Support (Core)	78	Global Customer Support
21	CO-SUP-SOP-385	-1	Global Customer Support (Core)	78	Global Customer Support
22	CO-SUP-SOP-006	-1	Field Service Engineer	78	Global Customer Support
938	CO-CS-SOP-249	-1	Field Service Engineer	78	Global Customer Support
538	CO-LAB-SOP-095	-1	Field Service Engineer	78	Global Customer Support
598	CO-LAB-SOP-163	-1	Field Service Engineer	78	Global Customer Support
-1	CO-SUP-SOP-002	-1	Field Service Engineer	78	Global Customer Support
912	CO-OPS-PTL-048	-1	Field Service Engineer	78	Global Customer Support
1532	CO-H&S-P-001	-1	Field Service Engineer	78	Global Customer Support
1528	CO-H&S-PRO-004	-1	Field Service Engineer	78	Global Customer Support
1526	CO-H&S-PRO-002	-1	Field Service Engineer	78	Global Customer Support
1527	CO-H&S-PRO-003	-1	Field Service Engineer	78	Global Customer Support
-1	CO-H&S-PRO-005 	-1	Field Service Engineer	78	Global Customer Support
-1	CO-H&S-P-003 	-1	Field Service Engineer	78	Global Customer Support
-1	CO-H&S-RA-001 	-1	Field Service Engineer	78	Global Customer Support
-1	CO-H&S-RA-008 	-1	Field Service Engineer	78	Global Customer Support
-1	CO-H&S-RA-010 	-1	Field Service Engineer	78	Global Customer Support
538	CO-LAB-SOP-095	-1	Field Service Engineer	78	Global Customer Support
1582	CO-OPS-SOP-376	-1	Field Service Engineer	78	Global Customer Support
481	CO-SUP-SOP-068	-1	HR Contractors_Contractors and Interns	80	Human Resources
1586	CO-OPS-SOP-377	-1	Human Resources (Core)	80	Human Resources
481	CO-SUP-SOP-068	-1	IT Department	-1	IT Department
1586	CO-OPS-SOP-377	-1	IT Department	-1	IT Department
-1	CO-SUP-SOP-051	-1	IT Department	-1	IT Department
573	CO-HR-POL-007	-1	IT Department	-1	IT Department
574	CO-OPS-POL-008	-1	IT Department	-1	IT Department
481	CO-SUP-SOP-068	-1	IT Department	-1	IT Department
487	CO-SUP-SOP-069	-1	IT Department	-1	IT Department
488	CO-SUP-SOP-070	-1	IT Department	-1	IT Department
971	CO-PRD1-COP-003	-1	Oak House (Core)	70	Oak House
970	CO-PRD1-POL-016	-1	Oak House (Core)	70	Oak House
974	CO-PRD1-SOP-261	-1	Oak House (Core)	70	Oak House
977	CO-PRD1-SOP-263	-1	Oak House (Core)	70	Oak House
980	CO-PRD1-SOP-264	-1	Oak House (Core)	70	Oak House
981	CO-PRD1-SOP-265	-1	Oak House (Core)	70	Oak House
986	CO-PRD1-SOP-269	-1	Oak House (Core)	70	Oak House
1162	CO-PRD1-SOP-304	-1	Oak House (Core)	70	Oak House
1176	CO-PRD1-SOP-306	-1	Oak House (Core)	70	Oak House
1194	CO-PRD1-SOP-309	-1	Oak House (Core)	70	Oak House
1213	CO-PRD1-SOP-312	-1	Oak House (Core)	70	Oak House
1462	CO-PRD1-SOP-355	-1	Oak House (Core)	70	Oak House
1550	CO-PRD1-SOP-365	-1	Oak House (Core)	70	Oak House
1562	CO-PRD1-SOP-369	-1	Oak House (Core)	70	Oak House
