Document Code	Doc. ID	Document Name	Rev. #	Doc. Type
CO-OPS-PTL-050	926	 Factory Acceptance Test (FAT)  TQC in-line leak test equipment	0	Protocol
CO-QA-PTL-120	1781	Enlightenment Notifier Validation and Verification Protocol	0	Protocol
CO-QA-URS-031	1651	Enlightenment Software Requirements Specification	0	User Requirements Specification
CO-LAB-FRM-086	676	0260 CT Forward Primer from SGS DNA	7	Forms
CO-LAB-FRM-096	686	25U/µL Taq-B DNA Polymerase (Low Glycerol) Part Number 0270	3	Forms
CO-LAB-FRM-108	698	CT di452 Probe from SGS Part No. 0289	5	Forms
CO-LAB-FRM-106	696	CT/NG: CT/IC Detection Reagent	9	Forms
CO-LAB-FRM-100	690	CT/NG: IC DNA Reagent	9	Forms
CO-LAB-FRM-101	691	CT/NG: NG1/NG2/IC Primer Passivation Reagent	10	Forms
CO-LAB-FRM-104	694	CT/NG: NG2/IC Detection Reagent	9	Forms
CO-LAB-FRM-102	692	CT/NG: TaqUNG Reagent	9	Forms
CO-LAB-FRM-107	697	IC di275 Probe from SGS Part No. 0288	5	Forms
CO-LAB-FRM-099	689	Neisseria gonorrhoeae DNA Part Number 0273	2	Forms
CO-LAB-FRM-079	669	Uracil DNA Glycosylase [50 thousand U/mL] Part Number 0240	4	Forms
CO-QA-URS-040	1782	Enlightenment” Notifier Software Requirement Specification	0	User Requirements Specification
CO-PRD1-FRM-231	1347	0.5M EDTA Oak House Production IQC	4	Forms
CO-OPS-SOP-109	339	1 x lysis buffer	9	Standard Operating Procedure
CO-OPS-SCR-001	1759	21011-4501 - Force End of Line Test Script	2	Script-io 
CO-OPS-SCR-002	1760	21011-4502 Pneumatic End of Line Test Script	4	Script-io 
CO-OPS-T-230	1756	21011-MEF010- FTC2 - Force Test Results Master Template for FTC2	8	Templates
CO-OPS-T-229	1755	21011-MEF020-FTC2 - Force Test Configuration File.	15	Templates
CO-OPS-T-231	1757	21011-MEF030 - Calibration Spread Sheet for FTC2.	15	Templates
CO-OPS-T-226	1752	21011-MEP010-PTC2 Pneumatics End of Line Test Results Master	9	Templates
CO-OPS-T-227	1753	21011-MEP020-PTC2 - Pneumatic Test Configuration File	11	Templates
CO-OPS-T-232	1758	21011-MEP030 - Calibration Spreadsheet for PTC #2	11	Templates
CO-OPS-T-222	1745	21011-MET010 Thermal - Sample Hold Template TTDL-No.2	10	Templates
CO-OPS-T-223	1746	21011-MET011 Thermal - PCR HoldTemplate -TTDL-No.2	10	Templates
CO-OPS-T-224	1747	21011-MET012 Thermal-PCR CycleTemplate for-TTDL-No.2.xlsm	12	Templates
CO-OPS-T-225	1748	21011-MET013 Thermal-Detect HoldTemplate -TTDL-No.2.xlsx	10	Templates
CO-OPS-T-221	1744	21011-MET015 - Thermal Test Summary Template	4	Templates
CO-OPS-T-233	1768	21011-MET020 - Agilent Datalogger Configuration for TTC2	0	Templates
CO-OPS-T-234	1769	21011-VCR003 Calibration Factors for 21011-TTDL-No.2	1	Templates
CO-OPS-SOP-110	282	225mM Potassium phosphate buffer	3	Standard Operating Procedure
CO-OPS-SOP-111	346	50U/uL T7 Exonuclease in CTNG Storage Buffer	4	Standard Operating Procedure
CO-OPS-SOP-112	345	600pM Stocks of Synthetic Uracil containing Amplicon	3	Standard Operating Procedure
CO-OPS-SOP-113	284	9.26pc (w.v) BSA in 208.3 mM Potassium Phosphate buffer	3	Standard Operating Procedure
CO-OPS-SOP-114	283	9.26pc (w.v) NZ Source BSA in 208.3mM Potassium Phosphate buffer	3	Standard Operating Procedure
CO-QA-JA-001	535	A Basic Guide to Finding Documents in SharePoint	2	Job Aid
CO-QC-JA-019	1178	A Guide for QC Document Filing	0	Job Aid
CO-IT-POL-022	1180	Access Control Policy	1	Policy
CO-QA-SOP-030	472	Accessing and Finding Documents in QT9	3	Standard Operating Procedure
CO-H&S-PRO-004	1528	Accident Incident and near miss reporting procedure	6	H&S Procedures
CO-LAB-SOP-002	264	Agilent Bioanalyzer SOP for RNA 6000 Pico and Nano Kits	4	Standard Operating Procedure
CO-PRD1-JA-008	978	Air conditioning	1	Job Aid
CO-SUP-JA-062	1554	AirSea 2-8°c Shipper Packing Instructions	0	Job Aid
CO-PRD1-FRM-244	1360	Albumin from bovine serum (BSA) Oak House Production IQC	5	Forms
CO-QA-SOP-096	539	Analysis of Quality Data	5	Standard Operating Procedure
CO-DES-T-219	1701	Analytical Verification Test Protocol template	0	Templates
CO-DES-T-220	1702	Analytical Verification Test Report template	0	Templates
CO-QA-SOP-274	1070	Applicable Standards Management Procedure	1	Standard Operating Procedure
CO-LAB-LBL-003	882	Approved material label	2	Label
CO-QA-REG-024	844	Archived Document Retrieval Log	1	Registers
CO-QA-T-109	421	Archiving Box Contents List	4	Templates
CO-LAB-LBL-019	899	Asset Calibration Label	2	Label
CO-FIN-SOP-373	1572	Asset Capitalization Procedure	0	Standard Operating Procedure
CO-IT-POL-023	1181	Asset Management Policy	1	Policy
CO-LAB-FRM-278	1546	Asset Not Temperature Controlled Sign	0	Forms
CO-LAB-REG-011	828	Asset Register	3	Registers
CO-LAB-SOP-167	602	Attaching Electrode and Blister Adhesive and Blister Pack and Cover (M600)	5	Standard Operating Procedure
CO-QA-FRM-194	1065	Auditor Competency Assessment	0	Forms
CO-QA-FRM-193	1064	Auditor Qualification	0	Forms
CO-QA-REG-033	1075	Auditor register	0	Registers
CO-LAB-T-159	957	Autoclave Biological Indicator Check Form	0	Templates
CO-QC-T-033	318	Autoclave Record	5	Templates
CO-LAB-URS-039	1778	Automated Electrophoresis System URS	0	User Requirements Specification
CO-QA-REG-007	501	Bacterial Stock Register	2	Registers
CO-LAB-SOP-013	329	Balance calibration	6	Standard Operating Procedure
CO-QC-T-028	313	Balance Calibration form	3	Templates
CO-DES-PTL-006	463	Balance IQ/OQ	3	Protocol
CO-LAB-SOP-164	599	Bambi compressor: Use and Maintenance	3	Standard Operating Procedure
CO-LAB-REG-020	839	Batch Retention Register	1	Registers
CO-LAB-URS-001	850	Binder incubator and humidity chamber User Requirement Specification	0	User Requirements Specification
CO-LAB-SOP-012	274	Binder KBF-115 Oven	2	Standard Operating Procedure
CO-SUP-T-184	1417	binx Commercial Invoice (Misc. shipments)	1	Templates
CO-OPS-REG-029	867	binx health ltd Master Assay Code Register	7	Registers
CO-SUP-FRM-177	951	binx health Vendor Information Form	0	Forms
CO-CS-SOP-358	1476	binx io Field Service Procedure	0	Standard Operating Procedure
CO-CS-FRM-275	1537	binx io RMA Number Request Form 	0	Forms
CO-QA-T-042	354	binx Meeting Minutes Template	6	Templates
CO-QA-T-038	350	binx Memorandum Template	8	Templates
CO-SUP-T-185	1418	binx Packing List (Misc shipments)	1	Templates
CO-DES-T-040	352	binx Report Template	7	Templates
CO-DES-T-041	353	binx Technical Report Template	8	Templates
CO-QC-T-107	419	Bioanalyzer Cleaning Record	3	Templates
CO-H&S-T-203	1499	Blank Form for H&S COSHH assessments	6	Templates
CO-OPS-PTL-037	816	Blister Cropping Press IQ and OQ Validation Protocol	1	Protocol
CO-OPS-PTL-038	817	Blister Filling Rig and Cropping Press PQ Validation Protocol	3	Protocol
CO-PRD1-FRM-232	1348	Brij- 58 Oak House Production IQC	4	Forms
