Doc. ID,Document Code,Document Name,Rev. #,Department,Doc. Type,Doc. Category,Site Name,Doc. Reference,Status
14,CO-DES-SOP-029,Design and Development Procedure,10,Design,Standard Operating Procedure,QMS,Corporate,QS-DES-001,Out For Revision
15,CO-DES-SOP-243,CE Mark/Technical File Procedure,6,Design,Standard Operating Procedure,QMS,Corporate,QS-DES-004,Active
16,CO-DES-SOP-004,Software Development Procedure,4,Design,Standard Operating Procedure,QMS,Corporate,QS-DES-010,Active
17,CO-SUP-SOP-384,Procedure for Commercial Storage and Distribution,3,Supply Chain,Standard Operating Procedure,QMS,Corporate,QS-OPS-005&CO-SUP-SOP-001,Out For Revision
18,CO-CS-SOP-368,Instrument Service & Repair Procedure,5,Customer Support,Standard Operating Procedure,QMS,Corporate,QS-OPS-007,Out For Revision
19,CO-SUP-SOP-386,Procedure for Inventory Control and IBP,2,Supply Chain,Standard Operating Procedure,QMS,Corporate,QS-OPS-008&CO-SUP-SOP-003,Active
21,CO-SUP-SOP-385,New Customer Procedure,3,Supply Chain,Standard Operating Procedure,QMS,Corporate,QS-OPS-010 & CO-SUP-SOP-005,Active
22,CO-SUP-SOP-006,Equipment Fulfilment and Field Visit SOP for non-stock instruments,3,Supply Chain,Standard Operating Procedure,QMS,Corporate,QS-OPS-011,Active
24,CO-OPS-SOP-002,Planning for Process Validation,3,Operations,Standard Operating Procedure,QMS,Corporate,QS-V-003,Active
40,CO-DES-SOP-371,Critical to Quality and Reagent Design Control,2,Design,Standard Operating Procedure,QMS,Corporate,QS-DES-012 & CO-DES-SOP-005,Active
41,CO-DES-SOP-372,Reagent Design Transfer process,2,Design,Standard Operating Procedure,QMS,Corporate,QS-DES-013,Active
65,CO-QA-SOP-140,Document Control Procedure (Projects),19,Quality Assurance,Standard Operating Procedure,QMS,Corporate,QS-DOC-002,Active
66,CO-QA-SOP-098,Document Matrix,8,Quality Assurance,Standard Operating Procedure,QMS,Corporate,QS-DOC-002a,Active
69,CO-QA-SOP-005,Document and Records Archiving,6,Quality Assurance,Standard Operating Procedure,QMS,Corporate,QS-DOC-013,Active
70,CO-QA-SOP-003,Nonconforming Product Procedure,19,Quality Assurance,Standard Operating Procedure,QMS,Corporate,QS-MGT-001,Active
71,CO-QA-SOP-004,Internal Audit,12,Quality Assurance,Standard Operating Procedure,QMS,Corporate,QS-MGT-002,Active
73,CO-QA-SOP-326,Vigilance and Medical Reporting Procedure,7,Quality Assurance,Standard Operating Procedure,QMS,Corporate,QS-MGT-007; CO-QA-SOP-006,Out For Revision
74,CO-QA-SOP-007,Correction Removal and Recall Procedure,5,Quality Assurance,Standard Operating Procedure,QMS,Corporate,QS-MGT-008,Active
144,CO-QA-SOP-345,Root Cause Analysis,4,Quality Assurance,Standard Operating Procedure,QMS,Corporate,QS-MGT-011 CO-QA-SOP-008,Out For Revision
146,CO-QA-SOP-267,Post Market Surveillance,8,Quality Assurance,Standard Operating Procedure,QMS,Corporate,QS-MGT-013,Active
147,CO-QA-SOP-011,Supplier Corrective Action Response Procedure,6,Quality Assurance,Standard Operating Procedure,QMS,Corporate,QS-MGT-016,Active
148,CO-QA-SOP-012,Quality Objectives,9,Quality Assurance,Standard Operating Procedure,QMS,Corporate,QS-MGT-019,Active
151,CO-QA-SOP-015,Qualification and Competence of Auditors,3,Quality Assurance,Standard Operating Procedure,QMS,Corporate,QS-MGT-025,Active
152,CO-QA-SOP-016,Identification and Traceabillity,3,Quality Assurance,Standard Operating Procedure,QMS,Corporate,QS-MGT-026,Active
245,CO-SAM-SOP-009,Control of Marketing and Promotion,6,Sales and Marketing,Standard Operating Procedure,QMS,Corporate,QS-DOC-011,Active
262,CO-LAB-FRM-016,CT Taqman Probe (FAM),5,Laboratory,Forms,QMS,Corporate,QS-IQC-0216,Out For Revision
263,CO-LAB-FRM-017,IC Taqman Probe (FAM),6,Laboratory,Forms,QMS,Corporate,QS-IQC-0217,Active
264,CO-LAB-SOP-002,Agilent Bioanalyzer SOP for RNA 6000 Pico and Nano Kits,4,Laboratory,Standard Operating Procedure,QMS,Corporate,QS-LAB-028,Active
265,CO-LAB-SOP-003,Validation of Temperature Controlled Equipment,3,Laboratory,Standard Operating Procedure,QMS,Corporate,QS-LAB-038,Active
266,CO-LAB-SOP-004,Use of the Bolt Mini Gel Tank for protein Electrophoresis,3,Laboratory,Standard Operating Procedure,QMS,Corporate,QS-LAB-039,Active
267,CO-LAB-SOP-005,Rhychiger Heat Sealer,3,Laboratory,Standard Operating Procedure,QMS,Corporate,QS-LAB-045,Active
268,CO-LAB-SOP-006,Esco Laminar Flow Cabinet,2,Laboratory,Standard Operating Procedure,QMS,Corporate,QS-LAB-046,Active
269,CO-OPS-SOP-007,Firmware Up-date,2,Operations,Standard Operating Procedure,QMS,Corporate,QS-LAB-048,Active
270,CO-OPS-SOP-008,Thermal Test Rig Set Up and Calibration,3,Operations,Standard Operating Procedure,QMS,Corporate,QS-LAB-052,Out For Revision
271,CO-OPS-SOP-009,Reader Peltier Refit procedure,3,Operations,Standard Operating Procedure,QMS,Corporate,QS-LAB-054,Active
272,CO-LAB-SOP-010,Reagent Deposition and Immobilisation (Pilot Line),4,Laboratory,Standard Operating Procedure,QMS,Corporate,QS-LAB-058,Active
273,CO-LAB-SOP-011,Eppendorf 5424 Centrifuge,2,Laboratory,Standard Operating Procedure,QMS,Corporate,QS-LAB-062,Active
274,CO-LAB-SOP-012,Binder KBF-115 Oven,2,Laboratory,Standard Operating Procedure,QMS,Corporate,QS-LAB-063,Active
277,CO-OPS-SOP-124,Glycerol Solution,3,Operations,Standard Operating Procedure,QMS,Corporate,QS-MFG-089,Active
278,CO-OPS-SOP-125,IC DNA in TE Buffer 100pg/ul Working Stock Aliquots,3,Operations,Standard Operating Procedure,QMS,Corporate,QS-MFG-098,Active
279,CO-OPS-SOP-117,Manufacture of IC DNA Reagent’,5,Operations,Standard Operating Procedure,QMS,Corporate,QS-MFG-099,Active
280,CO-OPS-SOP-118,Manufacture of CT/IC Primer Passivation Reagent,5,Operations,Standard Operating Procedure,QMS,Corporate,QS-MFG-101,Active
281,CO-OPS-SOP-119,Manufacture of NG1/NG2/IC Primer Passivation Reagent,8,Operations,Standard Operating Procedure,QMS,Corporate,QS-MFG-102,Active
282,CO-OPS-SOP-110,225mM Potassium phosphate buffer,3,Operations,Standard Operating Procedure,QMS,Corporate,QS-MFG-124,Active
283,CO-OPS-SOP-114,9.26pc (w.v) NZ Source BSA in 208.3mM Potassium Phosphate buffer,3,Operations,Standard Operating Procedure,QMS,Corporate,QS-MFG-125,Active
284,CO-OPS-SOP-113,9.26pc (w.v) BSA in 208.3 mM Potassium Phosphate buffer,3,Operations,Standard Operating Procedure,QMS,Corporate,QS-MFG-126,Active
285,CO-OPS-SOP-120,CTNG Storage Buffer (224.3mM Potassium Phosphate,3,Operations,Standard Operating Procedure,QMS,Corporate,QS-MFG-127,Active
288,CO-SUP-T-003,binx Purchase Order Form,8,Supply Chain,Templates,QMS,Corporate,QS-T-013,Active
289,CO-DES-T-004,Design Review Record,2,Design,Templates,QMS,Corporate,QS-T-018a,Active
290,CO-DES-T-005,Phase Review Record,2,Design,Templates,QMS,Corporate,QS-T-018b,Active
292,CO-QA-T-007,External Change Notification Form,6,Quality Assurance,Templates,QMS,Corporate,QS-T-020,Active
293,CO-QA-T-008,Change Management Form,14,Quality Assurance,Templates,QMS,Corporate,QS-T-021,Active
294,CO-QC-T-009,Template for IQC,6,Quality Control,Templates,QMS,Corporate,QS-T-022,Active
295,CO-QA-T-010,Policy Template,6,Quality Assurance,Templates,QMS,Corporate,QS-T-024,Active
296,CO-QA-T-011,Form Template,6,Quality Assurance,Templates,QMS,Corporate,QS-T-025,Active
297,CO-QA-T-012,Instructor-led Training Form,5,Quality Assurance,Templates,QMS,Corporate,QS-T-027,Active
301,CO-QC-T-016,Lab Cleaning Form,9,Quality Control,Templates,QMS,Corporate,QS-T-044,Out For Revision
305,CO-OPS-T-020,Development Partner Ranking Criteria,2,Operations,Templates,QMS,Corporate,QS-T-056,Active
307,CO-DES-T-022,IVD Directive - Essential Requirements Check List Template,4,Design,Templates,QMS,Corporate,QS-T-058,Active
308,CO-QC-T-023,Solution Preparation Form,3,Quality Control,Templates,QMS,Corporate,QS-T-060,Active
310,CO-DES-T-025,Validation Protocol template,8,Design,Templates,QMS,Corporate,QS-T-076,Active
311,CO-FIN-T-026,IT GAMP Evaluation Form,4,Finance,Templates,QMS,Corporate,QS-T-081,Active
312,CO-FIN-T-027,IT Request for Information,3,Finance,Templates,QMS,Corporate,QS-T-082,Active
313,CO-QC-T-028,Balance Calibration form,3,Quality Control,Templates,QMS,Corporate,QS-T-083,Active
315,CO-QC-T-030,pH Meter Calibration Form,3,Quality Control,Templates,QMS,Corporate,QS-T-086,Active
316,CO-QC-T-031,Dishwasher User Form,3,Quality Control,Templates,QMS,Corporate,QS-T-087,Active
317,CO-QC-T-032,Equipment Log,3,Quality Control,Templates,QMS,Corporate,QS-T-088,Active
318,CO-QC-T-033,Autoclave Record,5,Quality Control,Templates,QMS,Corporate,QS-T-092,Active
320,CO-QC-T-035,Rework Protocol Template,4,Quality Control,Templates,QMS,Corporate,QS-T-094,Active
321,CO-DES-T-036,Experimental template: Planning,5,Design,Templates,QMS,Corporate,QS-T-095a,Active
322,CO-LAB-FRM-018,CTdi452 Probe from atdbio,6,Laboratory,Forms,QMS,Corporate,QS-IQC-0234,Active
323,CO-LAB-FRM-019,Synthetic Uracil containing Amplicon,3,Laboratory,Forms,QMS,Corporate,QS-IQC-0282,Active
325,CO-LAB-FRM-021,NG1  di452 Probe from SGS,5,Laboratory,Forms,QMS,Corporate,QS-IQC-0290,Out For Revision
326,CO-LAB-FRM-022,NG2  di452 Probe from SGS,5,Laboratory,Forms,QMS,Corporate,QS-IQC-0291,Out For Revision
329,CO-LAB-SOP-013,Balance calibration,6,Laboratory,Standard Operating Procedure,QMS,Corporate,QS-LAB-004,Active
330,CO-LAB-SOP-014,Thermo Orion Star pH meter,4,Laboratory,Standard Operating Procedure,QMS,Corporate,QS-LAB-013,Active
331,CO-LAB-SOP-015,Use of the ALC PK121 centrifuges (refrigerated and non-refrigerated),3,Laboratory,Standard Operating Procedure,QMS,Corporate,QS-LAB-022,Active
332,CO-LAB-SOP-016,Use of the Peqlab thermal cyclers,4,Laboratory,Standard Operating Procedure,QMS,Corporate,QS-LAB-027,Active
333,CO-LAB-SOP-017,Use of the Jenway Spectrophotometer,3,Laboratory,Standard Operating Procedure,QMS,Corporate,QS-LAB-064,Active
335,CO-LAB-SOP-019,Use of the LMS Programmable Incubator,3,Laboratory,Standard Operating Procedure,QMS,Corporate,QS-LAB-070,Active
336,CO-LAB-SOP-020,Use of the Hulme Martin Pmpulse heat Sealer,2,Laboratory,Standard Operating Procedure,QMS,Corporate,QS-LAB-074,Out For Revision
337,CO-QC-SOP-021,Use of Stuart SRT6D Roller Mixer,4,Quality Control,Standard Operating Procedure,QMS,Corporate,QS-LAB-075,Active
338,CO-LAB-SOP-022,Operation & Maintenance of Grant SUB Aqua Pro 5 (SAP5) unstirred Water Bath with Labarmor Beads,2,Laboratory,Standard Operating Procedure,QMS,Corporate,QS-LAB-078,Active
339,CO-OPS-SOP-109,1 x lysis buffer,9,Operations,Standard Operating Procedure,QMS,Corporate,QS-MFG-013,Active
340,CO-OPS-SOP-127,Potassium Phosphate Buffer,7,Operations,Standard Operating Procedure,QMS,Corporate,QS-MFG-017,Active
342,CO-OPS-SOP-123,DTT Solution,8,Operations,Standard Operating Procedure,QMS,Corporate,QS-MFG-032,Active
343,CO-OPS-SOP-122,Detection Surfactants Solution,9,Operations,Standard Operating Procedure,QMS,Corporate,QS-MFG-059,Out For Revision
