QT9 Document Code,Title,Job Function,Team Name
CO-OPS-POL-008,Policy for Purchasing and Management of Suppliers,CEO,C-Suite
CO-QA-POL-010,Policy for Control of Infrastructure Environment and Equipment,CEO,C-Suite
CO-QC-POL-018,Quality Control Policy,CEO,C-Suite
CO-SUP-POL-017,Policy for Customer Interface- Order Handling- Product Storage & Distribution,CEO,C-Suite
CO-QA-POL-019,Quality Policy,CEO,C-Suite
CO-QA-SOP-043,Training Procedure,CEO,C-Suite
CO-IT-POL-022,Access Control Policy,CEO,C-Suite
CO-IT-POL-023,Asset Management Policy,CEO,C-Suite
CO-IT-POL-024,Business Continuity and Disaster Recovery,CEO,C-Suite
CO-IT-POL-025,Code of Conduct,CEO,C-Suite
CO-IT-POL-026,Cryptography Policy,CEO,C-Suite
CO-IT-POL-027,Human Resource Security Policy,CEO,C-Suite
CO-IT-POL-028,Information Security Policy,CEO,C-Suite
CO-IT-POL-029,Information Security Roles and Responsibilities,CEO,C-Suite
CO-IT-POL-030,Physical Security Policy,CEO,C-Suite
CO-IT-POL-031,Responsible Disclosure Policy,CEO,C-Suite
CO-IT-POL-032,Risk Management ,CEO,C-Suite
CO-IT-POL-033,Third Party Management,CEO,C-Suite
CO-QA-SOP-030,Accessing and Finding Documents in QT9,CEO,C-Suite
CO-QA-POL-006,Policy for Document Control and Change Management,CEO,C-Suite
CO-QA-POL-015,Policy for the use of Electronic Signatures within binx health,CEO,C-Suite
CO-QA-SOP-012,Annual Quality Objectives ,CEO,C-Suite
CO-QA-POL-021,Quality Manual,CEO,C-Suite
CO-QA-POL-019,Quality Policy,CEO,C-Suite
CO-QA-POL-043,Training Procedure,CEO,C-Suite
CO-IT-SOP-044,IT Management- Backup- and Support,CEO,C-Suite
CO-CS-POL-012,Policy for Customer Feedback and Device Vigilance,CEO,C-Suite
CO-QA-POL-013,Policy for Complaints and Vigilance,CEO,C-Suite
CO-QA-POL-020,Risk Management Policy,CEO,C-Suite
CO-QA-POL-014,Policy for Control of Non Conformance ,CEO,C-Suite
CO-QA-SOP-025,Management Review,CEO,C-Suite
CO-HR-POL-007,Training Policy,CEO,C-Suite
CO-QA-SOP-274,Applicable Standards Management Procedure,COO,C-Suite
CO-H&S-P-001,Health & Safety Policy,COO,C-Suite
CO-H&S-P-002,PAT Policy,COO,C-Suite
CO-H&S-PRO-001,Health and Safety Fire Related Procedures,COO,C-Suite
CO-H&S-PRO-002,Chemical COSHH Guidance,COO,C-Suite
CO-H&S-PRO-003,Health and Safety Manual Handling,COO,C-Suite
CO-H&S-PRO-004,Health & Safety Incident and Near Miss Reporting Procedure,COO,C-Suite
CO-DES-SOP-029,Design and Development Procedure,COO,C-Suite
CO-DES-SOP-243,CE Mark/Technical File Procedure,COO,C-Suite
CO-DES-SOP-041,Design Review Work Instruction,COO,C-Suite
CO-DES-SOP-042,Creation and maintenance of a Device Master Record,COO,C-Suite
CO-QA-SOP-140,Document Control & Control of Quality Records,COO,C-Suite
CO-QA-SOP-139,Change Management,COO,C-Suite
CO-QA-SOP-028,Quality Records,COO,C-Suite
CO-SAM-SOP-009,Control of Marketing and Promotion,COO,C-Suite
CO-LAB-SOP-295,Environmental Contamination Monitoring,COO,C-Suite
CO-LAB-SOP-155,Lab book write up,COO,C-Suite
CO-LAB-SOP-156,Lab rough notes,COO,C-Suite
CO-LAB-SOP-103,Environmental Control in the Laboratory,COO,C-Suite
CO-LAB-SOP-145,Storage and Safe handling of Biohazardous Materials,COO,C-Suite
CO-LAB-SOP-151,Management and Control of Critical and Controlled equipment,COO,C-Suite
CO-QC-SOP-094,Procedure to control chemical and biological spillages,COO,C-Suite
CO-LAB-SOP-288,Assessment of Potentiostat Performance,COO,C-Suite
